dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,update_time_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,thread_inedges_min,thread_inedges_avg,thread_inedges_max,thread_imbalance,thread_workers
skewed_100k_1m,directed,no_inv_static,2,8,16,10,0.021623000,0.185732000,0.019679000,0.910095731,0.000094000,0.017491000,0.002164000,0.019112000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,1,0.024892000,0.201361000,0.022770000,0.914751727,0.000344000,0.018675000,0.003902000,0.020473000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,2,0.020646000,0.205653000,0.018955000,0.918095515,0.000636000,0.015751000,0.003153000,0.017157000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,3,0.034998000,0.230568000,0.033178000,0.947997028,0.000347000,0.029773000,0.003394000,0.031234000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,4,0.024996000,0.217492000,0.022548000,0.902064330,0.000695000,0.018759000,0.003703000,0.020840000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,5,0.022084000,0.198080000,0.020414000,0.924379641,0.000668000,0.017136000,0.003198000,0.018512000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,6,0.027516000,0.206635000,0.025757000,0.936073557,0.000475000,0.021904000,0.003821000,0.023334000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,7,0.020495000,0.210470000,0.018830000,0.918760673,0.000654000,0.015762000,0.003038000,0.017143000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,8,0.029572000,0.219787000,0.027634000,0.934465034,0.005332000,0.019600000,0.003286000,0.018822000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,9,0.026329000,0.208299000,0.024494000,0.930304987,0.000570000,0.021050000,0.003355000,0.022579000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,4,4,16,10,0.021091000,0.228762000,0.019301000,0.915129676,0.000709000,0.016129000,0.003134000,0.017638000,20,1.084202e-19,PASS,25000,25000.00,25000,69783,250000.00,789776,3.159,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,1,0.026177000,0.196922000,0.023811000,0.909615311,0.000473000,0.019427000,0.004200000,0.021460000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,2,0.034152000,0.242946000,0.031514000,0.922757086,0.005440000,0.022184000,0.004366000,0.023366000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,3,0.027157000,0.226957000,0.025337000,0.932982288,0.000486000,0.020403000,0.004757000,0.021850000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,4,0.036312000,0.233606000,0.034424000,0.948006169,0.001212000,0.028866000,0.005235000,0.030387000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
