dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance
polblogs,directed,inv_static,4,4,16,11,0.041165000,0.043746000,0.033601000,0.816251670,0.025834000,0.013976000,0.001582000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,12,0.002849000,0.004737000,0.001888000,0.662688663,0.000277000,0.000472000,0.001271000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,13,0.006537000,0.009380000,0.005464000,0.835857427,0.003211000,0.000880000,0.001621000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,14,0.003099000,0.005042000,0.002117000,0.683123588,0.000255000,0.000630000,0.001279000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,15,0.019164000,0.021865000,0.017584000,0.917553747,0.011445000,0.004565000,0.001793000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,16,0.006948000,0.008901000,0.005715000,0.822538860,0.003898000,0.000838000,0.001337000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,17,0.003154000,0.005142000,0.002139000,0.678186430,0.000305000,0.000582000,0.001282000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,18,0.003362000,0.005304000,0.002448000,0.728138013,0.000554000,0.000612000,0.001331000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,19,0.008307000,0.010874000,0.007276000,0.875887805,0.005302000,0.000710000,0.001401000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,20,0.022371000,0.024360000,0.020727000,0.926512002,0.011375000,0.008505000,0.001463000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,21,0.003642000,0.005511000,0.002731000,0.749862713,0.000685000,0.000492000,0.001760000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,22,0.003506000,0.005683000,0.002549000,0.727039361,0.000747000,0.000523000,0.001347000,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,23,0.006372000,0.008374000,0.005255000,0.824701820,0.003577000,0.000387000,0.001493000,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,24,0.005900000,0.008409000,0.004824000,0.817627119,0.002802000,0.000636000,0.001616000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,25,0.003207000,0.005184000,0.002218000,0.691612099,0.000288000,0.000620000,0.001378000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,26,0.005003000,0.007006000,0.004024000,0.804317410,0.002079000,0.000684000,0.001421000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,27,0.006651000,0.009213000,0.005684000,0.854608330,0.004024000,0.000409000,0.001331000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,28,0.003098000,0.005004000,0.002188000,0.706262105,0.000449000,0.000476000,0.001296000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,29,0.003548000,0.005501000,0.002458000,0.692784667,0.000879000,0.000512000,0.001295000,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,30,0.003986000,0.005868000,0.002996000,0.751630707,0.000990000,0.000515000,0.001637000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_dynamic,1,16,16,1,0.035963000,0.037622000,0.000042000,0.001167867,0.000009000,0.000009000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_dynamic,1,16,16,2,0.022201000,0.023821000,0.000038000,0.001711635,0.000008000,0.000008000,0.000023000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_dynamic,1,16,16,3,0.032980000,0.034646000,0.000053000,0.001607035,0.000014000,0.000012000,0.000027000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_dynamic,1,16,16,4,0.022194000,0.023835000,0.000041000,0.001847346,0.000009000,0.000009000,0.000023000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_dynamic,1,16,16,5,0.030327000,0.031983000,0.000044000,0.001450852,0.000010000,0.000010000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_dynamic,1,16,16,6,0.021161000,0.022879000,0.000041000,0.001937527,0.000009000,0.000009000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_dynamic,1,16,16,7,0.022247000,0.023866000,0.000044000,0.001977795,0.000010000,0.000009000,0.000025000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_dynamic,1,16,16,8,0.027897000,0.029553000,0.000042000,0.001505538,0.000009000,0.000010000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_dynamic,1,16,16,9,0.046320000,0.048432000,0.000069000,0.001489637,0.000013000,0.000014000,0.000043000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
